name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
System Module: Current Carrier[READ],SGB_Austenite_System_Wing,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wing,"Built-in modular system; cycle between alternatives by removing this hullmod. 

Reduces hull integrity by %s;
Adds two fighter bays;
Reduces the fighter replacement rate reduction by %s;
Increase combat range of fighters by %s. This range bonus is reduced as flux level increases.
All LPCs not created by the ship system will immediately be destroyed.

On activation, has the following effect:
Immediately replenish lost strikecrafts.",,graphics/hullmods/SGB_Austenite_System_Wing.png
System Module: Wingman 1,SGB_Austenite_System_Wingman_CORED1,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wingman_CORED,"The modular system of the body can be changed according to requirements and have the following impacts:
SGB_Austenite_System_Wingman_CORED

YOU SHOULD NOT SEE THIS (USED FOR DEV ONLY)",,graphics/hullmods/SGB_Austenite_Core.png
System Module: Wingman 2,SGB_Austenite_System_Wingman_CORED2,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wingman_CORED,"The modular system of the body can be changed according to requirements and have the following impacts:
SGB_Austenite_System_Wingman_CORED

YOU SHOULD NOT SEE THIS (USED FOR DEV ONLY)",,graphics/hullmods/SGB_Austenite_Core.png
System Module: Wingman 3,SGB_Austenite_System_Wingman_CORED3,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wingman_CORED,"The modular system of the body can be changed according to requirements and have the following impacts:
SGB_Austenite_System_Wingman_CORED

YOU SHOULD NOT SEE THIS (USED FOR DEV ONLY)",,graphics/hullmods/SGB_Austenite_Core.png
,,,,,,,,,,,,,,,,,,
Wingman: Strike,SGB_Austenite_System_Wing_Attack,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wing_Attack,"Built-in modular system; cycle between alternatives by removing this hullmod. On activation, has the following effect:

Changes built-in aircraft to strike wings;
Reduces the Austenite's engine speed by %s.",,graphics/hullmods/SGB_Austenite_System_Wing_Attack.png
Wingman: Assault,SGB_Austenite_System_Wing_Assault,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wing_Assault,"Built-in modular system; cycle between alternatives by removing this hullmod. On activation, has the following effect:

Changes built-in aircraft to assault wings;
Reduces the damage of built-in weapons by %s.",,graphics/hullmods/SGB_Austenite_System_Wing_Assault.png
Wingman: Support,SGB_Austenite_System_Wing_Support,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_System_Wing_Support,"Built-in modular system; cycle between alternatives by removing this hullmod. On activation, has the following effect:

Changes built-in aircraft to support wings;
Reduce the range of built-in weapons by %s.",,graphics/hullmods/SGB_Austenite_System_Wing_Support.png
,,,,,,,,,,,,,,,,,,
#应变时效：根据附近抛射体数量改变自身时间流速，上限3倍，抛射体越少CR掉越快/枝晶偏析：幅能和伤害与盾效成正比，但护盾缩为30度,,,,,,,,,,,,,,,,,,
Hull Module: Cottrell Atmosphere,SGB_Austenite_Head_Empty,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Head_Empty,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

Reduces armor by %s;
Reduces hull integrity by %s;
Increases flux capacity by %s;
Increases flux dissipation by %s;
Activates zero-flux acceleration bonus while below %s flux.",,graphics/hullmods/SGB_Austenite_Head_Empty.png
Hull Module: Grain Boundary Segregation,SGB_Austenite_Head_Armor,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Head_Armor,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

Increases hull integrity by %s
Increases EMP resistance by %s, 
Increases weapon repair rate by %s;
Increases Armor and structural resistance by %s;
Reduces flux dissipation rate by %s.",,graphics/hullmods/SGB_Austenite_Head_Armor.png
Hull Module: Peritectoid Reaction,SGB_Austenite_Head_Assault,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Head_Assault,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

Increases ballistic weapon damage by %s, 
Increases rate of fire for ballistic weapons by %s;
Increases shield efficency by %s, 
Decreases range of ballistic and missile weapons by %s.",,graphics/hullmods/SGB_Austenite_Head_Assault.png
,,,,,,,,,,,,,,,,,,
Engine Module: Periodic,SGB_Austenite_Engine_Wing_Unstable,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Engine_Wing_Unstable,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

Increases flux dissipation speed by up to %s, increasing with current travel speed.
When above 50% flux, increases top speed by up to %s, increasing with current flux level.",,graphics/hullmods/SGB_Austenite_Engine_Wing_Unstable.png
Engine Module: Edge Dislocation,SGB_Austenite_Engine_Wing_BackLoad,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Engine_Wing_BackLoad,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

Increases system recharge rate by up to %s, increasing with current flux level;
If the ship's system cannot store multiple uses (ie charges), this hullmod enables the ship to store up to %s uses;
Increases the ship's max CR by %s.",,graphics/hullmods/SGB_Austenite_Engine_Wing_BackLoad.png
Engine Module: Number Coordination,SGB_Austenite_Engine_Wing_Polarization,,0,Shackles Garrison,no_build_in,,,,TRUE,,0,0,0,0,data.hullmods.SGB_Austenite_Engine_Wing_Polarization,"Built-in modular hullmod; cycle between alternatives by removing this hullmod.

During peak operation time, increases the ship's maneueverability by up to %s, increasing with the ship's total time in peak operation during this combat;
During peak operation time, significantly reduces damage to engines.",,graphics/hullmods/SGB_Austenite_Engine_Wing_Polarization.png
